array_size,use_padding,creation_time_s,serial_time_s,parallel_time_s,run
50,1,0.00000100,0.00000000,0.00026300,1
50,1,0.00000200,0.00000100,0.00024300,2
50,1,0.00000100,0.00000000,0.00027200,3
50,1,0.00000200,0.00000100,0.00026500,4
50,1,0.00000200,0.00000000,0.00035600,5
100,1,0.00000200,0.00000000,0.00025900,1
100,1,0.00000200,0.00000100,0.00028000,2
100,1,0.00000200,0.00000000,0.00028000,3
100,1,0.00000400,0.00000100,0.00029900,4
100,1,0.00000200,0.00000000,0.00023400,5
500,1,0.00001200,0.00000200,0.00025400,1
500,1,0.00001800,0.00000200,0.00027900,2
500,1,0.00001500,0.00000200,0.00029000,3
500,1,0.00001600,0.00000200,0.00027300,4
500,1,0.00001600,0.00000200,0.00028300,5
1000,1,0.00003200,0.00000400,0.00056200,1
1000,1,0.00002500,0.00000300,0.00025600,2
1000,1,0.00003300,0.00000400,0.00028400,3
1000,1,0.00003100,0.00000300,0.00027400,4
1000,1,0.00003000,0.00000400,0.00026800,5
10000,1,0.00032300,0.00003500,0.00030300,1
10000,1,0.00024600,0.00002800,0.00029100,2
10000,1,0.00023300,0.00002700,0.00026800,3
10000,1,0.00031600,0.00003400,0.00030200,4
10000,1,0.00032000,0.00003500,0.00031000,5
100000,1,0.00243800,0.00025900,0.00034000,1
100000,1,0.00245200,0.00026500,0.00040200,2
100000,1,0.00238800,0.00034700,0.00033200,3
100000,1,0.00238500,0.00033600,0.00039200,4
100000,1,0.00245400,0.00028600,0.00041100,5
1000000,1,0.02872100,0.00258500,0.00150900,1
1000000,1,0.02765900,0.00263400,0.00133800,2
1000000,1,0.02831800,0.00256200,0.00155900,3
1000000,1,0.03072900,0.00264100,0.00149500,4
1000000,1,0.02653600,0.00353100,0.00182300,5
10000000,1,0.28133700,0.02544100,0.01153900,1
10000000,1,0.23896900,0.02591900,0.01217100,2
10000000,1,0.24755900,0.02680200,0.00969600,3
10000000,1,0.24032800,0.02601600,0.00936400,4
10000000,1,0.26684000,0.02642200,0.01198100,5
