num_accounts,transactions_per_thread,query_pct,lock_type,num_threads,use_delay,execution_time,throughput,run
1000,100000,20,1,1,0,0.003201,31240237.43,1
1000,100000,20,1,1,0,0.002750,36363636.36,2
1000,100000,20,1,1,0,0.002706,36954915.00,3
1000,100000,20,1,1,0,0.002754,36310820.62,4
1000,100000,20,1,1,0,0.003277,30515715.59,5
1000,100000,20,1,1,1,0.407402,245457.80,1
1000,100000,20,1,1,1,0.397338,251674.90,2
1000,100000,20,1,1,1,0.396982,251900.59,3
1000,100000,20,1,1,1,0.388977,257084.61,4
1000,100000,20,1,1,1,0.383862,260510.29,5
1000,100000,20,1,2,0,0.014719,13587879.61,1
1000,100000,20,1,2,0,0.017337,11536021.23,2
1000,100000,20,1,2,0,0.016493,12126356.64,3
1000,100000,20,1,2,0,0.023656,8454514.71,4
1000,100000,20,1,2,0,0.021570,9272137.23,5
1000,100000,20,1,2,1,1.170984,170796.53,1
1000,100000,20,1,2,1,1.133431,176455.38,2
1000,100000,20,1,2,1,1.111055,180009.09,3
1000,100000,20,1,2,1,1.118677,178782.62,4
1000,100000,20,1,2,1,1.171871,170667.25,5
1000,100000,20,1,4,0,0.040677,9833566.88,1
1000,100000,20,1,4,0,0.039623,10095146.76,2
1000,100000,20,1,4,0,0.036404,10987803.54,3
1000,100000,20,1,4,0,0.038020,10520778.54,4
1000,100000,20,1,4,0,0.037199,10752977.23,5
1000,100000,20,1,4,1,2.367000,168990.28,1
1000,100000,20,1,4,1,2.353740,169942.30,2
1000,100000,20,1,4,1,2.370361,168750.67,3
1000,100000,20,1,4,1,2.405080,166314.63,4
1000,100000,20,1,4,1,2.383093,167849.09,5
1000,100000,20,2,1,0,0.002824,35410764.87,1
1000,100000,20,2,1,0,0.002845,35149384.89,2
1000,100000,20,2,1,0,0.003675,27210884.35,3
1000,100000,20,2,1,0,0.003489,28661507.60,4
1000,100000,20,2,1,0,0.003566,28042624.79,5
1000,100000,20,2,1,1,0.389007,257064.78,1
1000,100000,20,2,1,1,0.380313,262941.31,2
1000,100000,20,2,1,1,0.381203,262327.42,3
1000,100000,20,2,1,1,0.380007,263153.05,4
1000,100000,20,2,1,1,0.383505,260752.79,5
1000,100000,20,2,2,0,0.027414,7295542.42,1
1000,100000,20,2,2,0,0.027910,7165890.36,2
1000,100000,20,2,2,0,0.024514,8158603.25,3
